datescrap,marketplace,cat1_id,cat2_id,cat3_id,cat1,cat2,cat3
2023-05-31,Tokopedia,54,2391,2394,Perlengkapan Pesta & Craft,Bungkus Kemasan,Kardus
2023-05-31,Tokopedia,54,2391,2917,Perlengkapan Pesta & Craft,Bungkus Kemasan,Kertas Kado
2023-05-31,Tokopedia,54,2399,2921,Perlengkapan Pesta & Craft,Bunga,Bunga Kertas
2023-05-31,Tokopedia,54,2399,2401,Perlengkapan Pesta & Craft,Bunga,Bunga Papan
2023-05-31,Tokopedia,54,2352,2356,Perlengkapan Pesta & Craft,Balon,Balon Latex
2023-05-31,Tokopedia,54,2352,2910,Perlengkapan Pesta & Craft,Balon,Balon Tepuk - Supporter
2023-05-31,Tokopedia,54,10,2964,Perlengkapan Pesta & Craft,Kerajinan Tangan,Stopper
2023-05-31,Tokopedia,54,533,2906,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Terompet
2023-05-31,Tokopedia,54,533,2375,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Topeng Pesta
2023-05-31,Tokopedia,54,2924,2935,Perlengkapan Pesta & Craft,Dekorasi Pesta,Pompom
2023-05-31,Tokopedia,54,2924,2938,Perlengkapan Pesta & Craft,Dekorasi Pesta,Tirai Foil
2023-05-31,Tokopedia,54,2360,2915,Perlengkapan Pesta & Craft,Hadiah,Mug Hadiah
2023-05-31,Tokopedia,54,2360,2914,Perlengkapan Pesta & Craft,Hadiah,Selempang - Sash
2023-05-31,Tokopedia,54,2391,2392,Perlengkapan Pesta & Craft,Bungkus Kemasan,Kotak Kado
2023-05-31,Tokopedia,54,2391,2397,Perlengkapan Pesta & Craft,Bungkus Kemasan,Pita Kado
2023-05-31,Tokopedia,54,2399,2922,Perlengkapan Pesta & Craft,Bunga,Bunga Plastik
2023-05-31,Tokopedia,54,2399,2923,Perlengkapan Pesta & Craft,Bunga,Bunga Sabun
2023-05-31,Tokopedia,54,2352,2357,Perlengkapan Pesta & Craft,Balon,Balon karakter
2023-05-31,Tokopedia,54,2352,2909,Perlengkapan Pesta & Craft,Balon,Pita Balon
2023-05-31,Tokopedia,54,533,2901,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Topi Pesta
2023-05-31,Tokopedia,54,533,2379,Perlengkapan Pesta & Craft,Kebutuhan Pesta,Undangan Ulang Tahun
2023-05-31,Tokopedia,54,2360,2363,Perlengkapan Pesta & Craft,Hadiah,Trophy & Medali
2023-05-31,Tokopedia,54,2360,2367,Perlengkapan Pesta & Craft,Hadiah,Uang Kuno
2023-05-31,Tokopedia,54,2391,2395,Perlengkapan Pesta & Craft,Bungkus Kemasan,Plastik
2023-05-31,Tokopedia,54,2399,2919,Perlengkapan Pesta & Craft,Bunga,Bunga Tangkai
2023-05-31,Tokopedia,54,2399,2920,Perlengkapan Pesta & Craft,Bunga,Kelopak Bunga
2023-05-31,Tokopedia,54,2352,2908,Perlengkapan Pesta & Craft,Balon,Pompa Balon
2023-05-31,Tokopedia,54,2352,2911,Perlengkapan Pesta & Craft,Balon,Stick Balon
2023-05-31,Tokopedia,54,2360,4386,Perlengkapan Pesta & Craft,Hadiah,Voucher & Gift Card
